index,fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality,colour,target
0,7.4,0.7,0.0,0.076,34.0,0.9978,3.51,0.56,9.4,5,1,0
1,7.8,0.88,0.0,0.098,67.0,0.9968,3.2,0.68,9.8,5,1,0
2,7.8,0.76,0.04,0.092,54.0,0.997,3.26,0.65,9.8,5,1,0
3,11.2,0.28,0.56,0.075,60.0,0.998,3.16,0.58,9.8,6,1,1
4,7.4,0.7,0.0,0.076,34.0,0.9978,3.51,0.56,9.4,5,1,0
5,7.4,0.66,0.0,0.075,40.0,0.9978,3.51,0.56,9.4,5,1,0
6,7.9,0.6,0.06,0.069,59.0,0.9964,3.3,0.46,9.4,5,1,0
7,7.3,0.65,0.0,0.065,21.0,0.9946,3.39,0.47,10.0,7,1,1
8,7.8,0.58,0.02,0.073,18.0,0.9968,3.36,0.57,9.5,7,1,1
9,7.5,0.5,0.36,0.071,102.0,0.9978,3.35,0.8,10.5,5,1,0
10,6.7,0.58,0.08,0.097,65.0,0.9959,3.28,0.54,9.2,5,1,0
11,7.5,0.5,0.36,0.071,102.0,0.9978,3.35,0.8,10.5,5,1,0
12,5.6,0.615,0.0,0.089,59.0,0.9943,3.58,0.52,9.9,5,1,0
13,7.8,0.61,0.29,0.114,29.0,0.9974,3.26,1.56,9.1,5,1,0
14,8.9,0.62,0.18,0.176,145.0,0.9986,3.16,0.88,9.2,5,1,0
15,8.9,0.62,0.19,0.17,148.0,0.9986,3.17,0.93,9.2,5,1,0
16,8.5,0.28,0.56,0.092,103.0,0.9969,3.3,0.75,10.5,7,1,1
17,8.1,0.56,0.28,0.368,56.0,0.9968,3.11,1.28,9.3,5,1,0
18,7.4,0.59,0.08,0.086,29.0,0.9974,3.38,0.5,9.0,4,1,0
19,7.9,0.32,0.51,0.341,56.0,0.9969,3.04,1.08,9.2,6,1,1
20,8.9,0.22,0.48,0.077,60.0,0.9968,3.39,0.53,9.4,6,1,1
21,7.6,0.39,0.31,0.082,71.0,0.9982,3.52,0.65,9.7,5,1,0
22,7.9,0.43,0.21,0.106,37.0,0.9966,3.17,0.91,9.5,5,1,0
23,8.5,0.49,0.11,0.084,67.0,0.9968,3.17,0.53,9.4,5,1,0
24,6.9,0.4,0.14,0.085,40.0,0.9968,3.43,0.63,9.7,6,1,1
25,6.3,0.39,0.16,0.08,23.0,0.9955,3.34,0.56,9.3,5,1,0
26,7.6,0.41,0.24,0.08,11.0,0.9962,3.28,0.59,9.5,5,1,0
27,7.9,0.43,0.21,0.106,37.0,0.9966,3.17,0.91,9.5,5,1,0
28,7.1,0.71,0.0,0.08,35.0,0.9972,3.47,0.55,9.4,5,1,0
29,7.8,0.645,0.0,0.082,16.0,0.9964,3.38,0.59,9.8,6,1,1
30,6.7,0.675,0.07,0.089,82.0,0.9958,3.35,0.54,10.1,5,1,0
31,6.9,0.685,0.0,0.105,37.0,0.9966,3.46,0.57,10.6,6,1,1
32,8.3,0.655,0.12,0.083,113.0,0.9966,3.17,0.66,9.8,5,1,0
33,6.9,0.605,0.12,0.073,83.0,0.9993,3.45,0.52,9.4,6,1,1
34,5.2,0.32,0.25,0.103,50.0,0.9957,3.38,0.55,9.2,5,1,0
35,7.8,0.645,0.0,0.086,18.0,0.9986,3.4,0.55,9.6,6,1,1
36,7.8,0.6,0.14,0.086,15.0,0.9975,3.42,0.6,10.8,6,1,1
37,8.1,0.38,0.28,0.066,30.0,0.9968,3.23,0.73,9.7,7,1,1
38,5.7,1.13,0.09,0.172,19.0,0.994,3.5,0.48,9.8,4,1,0
39,7.3,0.45,0.36,0.074,87.0,0.9978,3.33,0.83,10.5,5,1,0
40,7.3,0.45,0.36,0.074,87.0,0.9978,3.33,0.83,10.5,5,1,0
41,8.8,0.61,0.3,0.088,46.0,0.9976,3.26,0.51,9.3,4,1,0
42,7.5,0.49,0.2,0.332,14.0,0.9968,3.21,0.9,10.5,6,1,1
43,8.1,0.66,0.22,0.069,23.0,0.9968,3.3,1.2,10.3,5,1,0
44,6.8,0.67,0.02,0.05,11.0,0.9962,3.48,0.52,9.5,5,1,0
45,4.6,0.52,0.15,0.054,65.0,0.9934,3.9,0.56,13.1,4,1,0
46,7.7,0.935,0.43,0.114,114.0,0.997,3.25,0.73,9.2,5,1,0
47,8.7,0.29,0.52,0.113,37.0,0.9969,3.25,0.58,9.5,5,1,0
